date,county,state,cases,deaths,stay_at_home_announced,stay_at_home_effective,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,percent_uninsured,percent_unemployed_CHR,violent_crime_rate,percent_drive_alone_to_work,life_expectancy,percent_65_and_over,per_capita_income,percent_below_poverty,date_stay_at_home_announced,date_stay_at_home_effective
3/15/2020,Kane,Illinois,3,0,no,no,41.93888869,-88.42864695,0.099939647,0.304223418,0.180926884,0.041069395,0.150485437,0,0.275306569,0.549422735,0.269690587,0.11710577,0.203791436,0.113405103,0.121284954,0.386348543,0.197014925,3/20/2020,3/21/2020
3/15/2020,Lake,Illinois,3,0,no,no,42.32337829,-88.00363099,0.133659871,0.239757236,0.28416858,0.069670688,0.067961165,0.136986301,0.252505657,0.351984599,0.221962022,0.108355229,0.172261591,0.114883144,0.141749728,0.604796458,0.134328358,3/20/2020,3/21/2020
3/15/2020,McHenry,Illinois,2,0,no,no,42.32447091,-88.45235841,0.057944649,0.374412549,0.089939359,0.062839129,0.252427184,0.178082192,0.324256869,0.233548605,0.097665265,0.063939178,0.233800939,0.100766901,0.154188357,0.455589718,0.101492537,3/20/2020,3/21/2020
3/15/2020,Sangamon,Illinois,2,0,no,no,39.75817299,-89.65888305,0.03720004,0.598421115,0.039268568,0.215484283,0.194174757,0.24109589,0.248623747,0.18377628,0.194573702,0.609985344,0.247669756,0.071798396,0.270474317,0.389546181,0.32238806,3/20/2020,3/21/2020
3/15/2020,St. Clair,Illinois,2,0,no,no,38.4703081,-89.92839417,0.0500033,0.420516872,0.070897748,0.249471928,0.351941748,0.454794521,0.248939299,0.256139437,0.286541872,0.458581422,0.24109349,0.053224835,0.197392258,0.285721313,0.394029851,3/20/2020,3/21/2020
3/15/2020,Whiteside,Illinois,1,0,no,no,41.75628031,-89.91411599,0.010135101,0.442886301,0.013013862,0.138155172,0.264563107,0.306849315,0.226645802,0.236024508,0.228665254,0.136281945,0.260618246,0.071873948,0.377043104,0.248136761,0.208955224,3/20/2020,3/21/2020
3/15/2020,Winnebago,Illinois,1,0,no,no,42.33626415,-89.16084976,0.054465598,0.298506891,0.099636106,0.221419745,0.259708738,0.271232877,0.228521412,0.3783072,0.369631887,0.665422471,0.236779164,0.05646329,0.259015598,0.248923872,0.331343284,3/20/2020,3/21/2020
3/15/2020,Woodford,Illinois,1,0,no,no,40.78823179,-89.21114894,0.0066857,0.310686551,0.011313471,0.060579854,0.109223301,0.230136986,0.305909598,0.087213834,0.168757628,0.046890837,0.280120904,0.095402438,0.278887426,0.400762514,0.098507463,3/20/2020,3/21/2020
3/16/2020,Clinton,Illinois,1,0,no,no,38.60645123,-89.42249738,0.006443714,0.265284532,0.012349615,0.128234989,0.395631068,0.169863014,0.374808133,0.11361591,0.10689769,0.10231663,0.255175352,0.091404477,0.247886207,0.33070963,0.152238806,3/20/2020,3/21/2020
3/16/2020,Cook,Illinois,76,0,no,no,41.84003921,-87.81671569,0.999201733,0.663228215,0.997914205,0.070466437,0.131067961,0.169863014,0.332814598,0.636518664,0.163299609,0.462070812,0,0.088530266,0.155749065,0.396310417,0.367164179,3/20/2020,3/21/2020
3/16/2020,Cumberland,Illinois,1,0,no,no,39.27331383,-88.24022018,0.001284917,0.157067222,0.003603347,0.167321372,0.240291262,0.361643836,0.244944276,0.291349398,0.164482986,0.078698348,0.263307332,0.086614039,0.331983229,0.165268725,0.355223881,3/20/2020,3/21/2020
3/16/2020,DuPage,Illinois,5,0,no,no,41.85195487,-88.08563937,0.177202814,0.141426591,0.5115033,0,0.104368932,0.090410959,0.229879465,0.278057213,0.053170968,0.05851104,0.172475295,0.124169869,0.186555619,0.602139958,0.07761194,3/20/2020,3/21/2020
3/16/2020,Kane,Illinois,3,0,no,no,41.93888869,-88.42864695,0.099939647,0.304223418,0.180926884,0.041069395,0.150485437,0,0.275306569,0.549422735,0.269690587,0.11710577,0.203791436,0.113405103,0.121284954,0.386348543,0.197014925,3/20/2020,3/21/2020
3/16/2020,Lake,Illinois,6,0,no,no,42.32337829,-88.00363099,0.133659871,0.239757236,0.28416858,0.069670688,0.067961165,0.136986301,0.252505657,0.351984599,0.221962022,0.108355229,0.172261591,0.114883144,0.141749728,0.604796458,0.134328358,3/20/2020,3/21/2020
3/16/2020,McHenry,Illinois,2,0,no,no,42.32447091,-88.45235841,0.057944649,0.374412549,0.089939359,0.062839129,0.252427184,0.178082192,0.324256869,0.233548605,0.097665265,0.063939178,0.233800939,0.100766901,0.154188357,0.455589718,0.101492537,3/20/2020,3/21/2020
3/16/2020,Peoria,Illinois,1,0,no,no,40.78806447,-89.75998456,0.034938762,0.387906535,0.052455149,0.201284585,0.322815534,0.197260274,0.193481693,0.270339915,0.346720955,0.389115693,0.23767564,0.064151069,0.242085049,0.3194687,0.36119403,3/20/2020,3/21/2020
3/16/2020,Sangamon,Illinois,3,0,no,no,39.75817299,-89.65888305,0.03720004,0.598421115,0.039268568,0.215484283,0.194174757,0.24109589,0.248623747,0.18377628,0.194573702,0.609985344,0.247669756,0.071798396,0.270474317,0.389546181,0.32238806,3/20/2020,3/21/2020
3/16/2020,St. Clair,Illinois,2,0,no,no,38.4703081,-89.92839417,0.0500033,0.420516872,0.070897748,0.249471928,0.351941748,0.454794521,0.248939299,0.256139437,0.286541872,0.458581422,0.24109349,0.053224835,0.197392258,0.285721313,0.394029851,3/20/2020,3/21/2020
3/16/2020,Whiteside,Illinois,1,0,no,no,41.75628031,-89.91411599,0.010135101,0.442886301,0.013013862,0.138155172,0.264563107,0.306849315,0.226645802,0.236024508,0.228665254,0.136281945,0.260618246,0.071873948,0.377043104,0.248136761,0.208955224,3/20/2020,3/21/2020
