date,county,state,cases,deaths,stay_at_home_announced,stay_at_home_effective,lat,lon,total_population,area_sqmi,population_density_per_sqmi,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,percent_uninsured,percent_unemployed_CHR,violent_crime_rate,percent_drive_alone_to_work,life_expectancy,percent_65_and_over,per_capita_income,percent_below_poverty,date_stay_at_home_announced,date_stay_at_home_effective
3/15/2020,Watauga,North Carolina,1,0,no,no,36.23110248,-81.69643878,0.048051245,0.147426088,0.082612241,0.241799866,0,0.068235294,0.331236852,0.271867976,0.060612277,0.116697082,0.072271403,0.108377374,0.20905051,0.18057839,0.733333333,3/27/2020,3/30/2020
3/15/2020,Wayne,North Carolina,1,0,no,no,35.36397044,-78.00399889,0.118918849,0.402160365,0.111511009,0.226932698,0.460215054,0.28,0.120176711,0.31078117,0.162027894,0.496900156,0.143989828,0.036441508,0.228696892,0.147750856,0.431746032,3/27/2020,3/30/2020
3/15/2020,Wilson,North Carolina,1,0,no,no,35.70515253,-77.91867351,0.076587262,0.205605677,0.110151188,0.243797125,0.335483871,0.343529412,0.086047261,0.253052226,0.382756737,0.491890689,0.170475033,0.032919124,0.286661935,0.170525294,0.453968254,3/27/2020,3/30/2020
3/16/2020,Brunswick,North Carolina,1,0,no,no,34.07109552,-78.23760454,0.113700293,0.714088638,0.067827654,0.116394307,0.262365591,0.192941176,0.114367236,0.236666981,0.264108877,0.14411042,0.135485472,0.066766974,0.706635514,0.336953885,0.222222222,3/27/2020,3/30/2020
3/16/2020,Cabarrus,North Carolina,1,0,no,no,35.38679439,-80.55186463,0.185978292,0.198923225,0.270723869,0.138231125,0.412903226,0.211764706,0.303981236,0.081625987,0.071583404,0.11189382,0.167325116,0.065876878,0.126489547,0.310918255,0.111111111,3/27/2020,3/30/2020
3/16/2020,Chatham,North Carolina,1,0,no,no,35.70258166,-79.25529739,0.063897669,0.536721725,0.047472135,0.082467826,0.152688172,0.105882353,0.173393435,0.273203347,0.045476938,0.175090767,0.129733257,0.104495818,0.481798253,0.509850955,0.171428571,3/27/2020,3/30/2020
3/16/2020,Craven,North Carolina,1,0,no,no,35.12487272,-77.0938962,0.09889758,0.563326243,0.071539947,0.143985717,0.298924731,0.157647059,0.260280316,0.139515766,0.14906198,0.287141328,0.138745332,0.039038527,0.311312529,0.243592162,0.222222222,3/27/2020,3/30/2020
3/16/2020,Durham,North Carolina,1,0,no,no,36.03603865,-78.87662204,0.287109572,0.119967149,0.527622066,0.107842641,0.172043011,0.049411765,0.237634968,0.231675223,0.062186073,0.84082963,0.10581364,0.086965737,0.122321996,0.411853489,0.292063492,3/27/2020,3/30/2020
3/16/2020,Forsyth,North Carolina,2,0,no,no,36.13062805,-80.25629747,0.356367133,0.248003806,0.458079859,0.257086501,0.350537634,0.164705882,0.163966109,0.207385685,0.103091062,0.720801014,0.178214372,0.0586325,0.214298159,0.307279735,0.358730159,3/27/2020,3/30/2020
3/16/2020,Harnett,North Carolina,2,0,no,no,35.36863904,-78.86941813,0.121066562,0.445518451,0.105369059,0.279139402,0.35483871,0.249411765,0.246335566,0.213039734,0.202451361,0.278401843,0.210282466,0.045857427,0.102229589,0.135352936,0.320634921,3/27/2020,3/30/2020
3/16/2020,Johnston,North Carolina,2,0,no,no,35.51783083,-78.36571146,0.175955302,0.652511218,0.114379511,0.228070226,0.440860215,0.258823529,0.25378588,0.261202766,0.075667238,0.201785938,0.167035535,0.060096819,0.129420951,0.188097997,0.203174603,3/27/2020,3/30/2020
3/16/2020,Mecklenburg,North Carolina,4,0,no,no,35.24642571,-80.83262694,0.995920037,0.370188142,0.99524271,0.071672046,0.243010753,0.051764706,0.324505872,0.197051491,0.089701175,0.731718306,0.109273975,0.087785889,0.062320195,0.482413821,0.19047619,3/27/2020,3/30/2020
3/16/2020,Onslow,North Carolina,1,0,no,no,34.732397,-77.43277901,0.179513409,0.62172413,0.121387121,0.232799438,0.270967742,0.195294118,0.461162014,0,0.212598167,0.23392609,0.055698529,0.043449204,0,0.172438886,0.180952381,3/27/2020,3/30/2020
3/16/2020,Wake,North Carolina,15,0,no,no,35.79026014,-78.65031446,0.982875622,0.698466438,0.614268509,0,0.180645161,0,0.354174934,0.06048311,0.046369335,0.108855715,0.129415133,0.103205369,0.075445943,0.52718109,0.082539683,3/27/2020,3/30/2020
3/16/2020,Watauga,North Carolina,1,0,no,no,36.23110248,-81.69643878,0.048051245,0.147426088,0.082612241,0.241799866,0,0.068235294,0.331236852,0.271867976,0.060612277,0.116697082,0.072271403,0.108377374,0.20905051,0.18057839,0.733333333,3/27/2020,3/30/2020
3/16/2020,Wayne,North Carolina,1,0,no,no,35.36397044,-78.00399889,0.118918849,0.402160365,0.111511009,0.226932698,0.460215054,0.28,0.120176711,0.31078117,0.162027894,0.496900156,0.143989828,0.036441508,0.228696892,0.147750856,0.431746032,3/27/2020,3/30/2020
3/16/2020,Wilson,North Carolina,1,0,no,no,35.70515253,-77.91867351,0.076587262,0.205605677,0.110151188,0.243797125,0.335483871,0.343529412,0.086047261,0.253052226,0.382756737,0.491890689,0.170475033,0.032919124,0.286661935,0.170525294,0.453968254,3/27/2020,3/30/2020
3/17/2020,Brunswick,North Carolina,1,0,no,no,34.07109552,-78.23760454,0.113700293,0.714088638,0.067827654,0.116394307,0.262365591,0.192941176,0.114367236,0.236666981,0.264108877,0.14411042,0.135485472,0.066766974,0.706635514,0.336953885,0.222222222,3/27/2020,3/30/2020
3/17/2020,Cabarrus,North Carolina,1,0,no,no,35.38679439,-80.55186463,0.185978292,0.198923225,0.270723869,0.138231125,0.412903226,0.211764706,0.303981236,0.081625987,0.071583404,0.11189382,0.167325116,0.065876878,0.126489547,0.310918255,0.111111111,3/27/2020,3/30/2020
3/17/2020,Chatham,North Carolina,1,0,no,no,35.70258166,-79.25529739,0.063897669,0.536721725,0.047472135,0.082467826,0.152688172,0.105882353,0.173393435,0.273203347,0.045476938,0.175090767,0.129733257,0.104495818,0.481798253,0.509850955,0.171428571,3/27/2020,3/30/2020
3/17/2020,Craven,North Carolina,1,0,no,no,35.12487272,-77.0938962,0.09889758,0.563326243,0.071539947,0.143985717,0.298924731,0.157647059,0.260280316,0.139515766,0.14906198,0.287141328,0.138745332,0.039038527,0.311312529,0.243592162,0.222222222,3/27/2020,3/30/2020
3/17/2020,Durham,North Carolina,1,0,no,no,36.03603865,-78.87662204,0.287109572,0.119967149,0.527622066,0.107842641,0.172043011,0.049411765,0.237634968,0.231675223,0.062186073,0.84082963,0.10581364,0.086965737,0.122321996,0.411853489,0.292063492,3/27/2020,3/30/2020
3/17/2020,Forsyth,North Carolina,2,0,no,no,36.13062805,-80.25629747,0.356367133,0.248003806,0.458079859,0.257086501,0.350537634,0.164705882,0.163966109,0.207385685,0.103091062,0.720801014,0.178214372,0.0586325,0.214298159,0.307279735,0.358730159,3/27/2020,3/30/2020
3/17/2020,Harnett,North Carolina,3,0,no,no,35.36863904,-78.86941813,0.121066562,0.445518451,0.105369059,0.279139402,0.35483871,0.249411765,0.246335566,0.213039734,0.202451361,0.278401843,0.210282466,0.045857427,0.102229589,0.135352936,0.320634921,3/27/2020,3/30/2020
3/17/2020,Iredell,North Carolina,1,0,no,no,35.80670946,-80.87349783,0.161463924,0.423558071,0.14619967,0.134537812,0.32688172,0.218823529,0.253418085,0.136774954,0.073177026,0.293791985,0.17859257,0.053768885,0.210235645,0.325472334,0.161904762,3/27/2020,3/30/2020
3/17/2020,Johnston,North Carolina,2,0,no,no,35.51783083,-78.36571146,0.175955302,0.652511218,0.114379511,0.228070226,0.440860215,0.258823529,0.25378588,0.261202766,0.075667238,0.201785938,0.167035535,0.060096819,0.129420951,0.188097997,0.203174603,3/27/2020,3/30/2020
3/17/2020,Mecklenburg,North Carolina,7,0,no,no,35.24642571,-80.83262694,0.995920037,0.370188142,0.99524271,0.071672046,0.243010753,0.051764706,0.324505872,0.197051491,0.089701175,0.731718306,0.109273975,0.087785889,0.062320195,0.482413821,0.19047619,3/27/2020,3/30/2020
3/17/2020,Onslow,North Carolina,1,0,no,no,34.732397,-77.43277901,0.179513409,0.62172413,0.121387121,0.232799438,0.270967742,0.195294118,0.461162014,0,0.212598167,0.23392609,0.055698529,0.043449204,0,0.172438886,0.180952381,3/27/2020,3/30/2020
3/17/2020,Sampson,North Carolina,1,0,no,no,34.99155711,-78.37139067,0.05889161,0.815439315,0.030107678,0.285783654,0.4,0.334117647,0.102061926,0.496154056,0.12480451,0.258394473,0.185298613,0.030862038,0.272299623,0.099156402,0.507936508,3/27/2020,3/30/2020
3/17/2020,Wake,North Carolina,17,0,no,no,35.79026014,-78.65031446,0.982875622,0.698466438,0.614268509,0,0.180645161,0,0.354174934,0.06048311,0.046369335,0.108855715,0.129415133,0.103205369,0.075445943,0.52718109,0.082539683,3/27/2020,3/30/2020
3/17/2020,Watauga,North Carolina,1,0,no,no,36.23110248,-81.69643878,0.048051245,0.147426088,0.082612241,0.241799866,0,0.068235294,0.331236852,0.271867976,0.060612277,0.116697082,0.072271403,0.108377374,0.20905051,0.18057839,0.733333333,3/27/2020,3/30/2020
3/17/2020,Wayne,North Carolina,1,0,no,no,35.36397044,-78.00399889,0.118918849,0.402160365,0.111511009,0.226932698,0.460215054,0.28,0.120176711,0.31078117,0.162027894,0.496900156,0.143989828,0.036441508,0.228696892,0.147750856,0.431746032,3/27/2020,3/30/2020
3/17/2020,Wilson,North Carolina,1,0,no,no,35.70515253,-77.91867351,0.076587262,0.205605677,0.110151188,0.243797125,0.335483871,0.343529412,0.086047261,0.253052226,0.382756737,0.491890689,0.170475033,0.032919124,0.286661935,0.170525294,0.453968254,3/27/2020,3/30/2020
3/18/2020,Brunswick,North Carolina,1,0,no,no,34.07109552,-78.23760454,0.113700293,0.714088638,0.067827654,0.116394307,0.262365591,0.192941176,0.114367236,0.236666981,0.264108877,0.14411042,0.135485472,0.066766974,0.706635514,0.336953885,0.222222222,3/27/2020,3/30/2020
3/18/2020,Cabarrus,North Carolina,1,0,no,no,35.38679439,-80.55186463,0.185978292,0.198923225,0.270723869,0.138231125,0.412903226,0.211764706,0.303981236,0.081625987,0.071583404,0.11189382,0.167325116,0.065876878,0.126489547,0.310918255,0.111111111,3/27/2020,3/30/2020
3/18/2020,Chatham,North Carolina,3,0,no,no,35.70258166,-79.25529739,0.063897669,0.536721725,0.047472135,0.082467826,0.152688172,0.105882353,0.173393435,0.273203347,0.045476938,0.175090767,0.129733257,0.104495818,0.481798253,0.509850955,0.171428571,3/27/2020,3/30/2020
3/18/2020,Craven,North Carolina,1,0,no,no,35.12487272,-77.0938962,0.09889758,0.563326243,0.071539947,0.143985717,0.298924731,0.157647059,0.260280316,0.139515766,0.14906198,0.287141328,0.138745332,0.039038527,0.311312529,0.243592162,0.222222222,3/27/2020,3/30/2020
3/18/2020,Durham,North Carolina,12,0,no,no,36.03603865,-78.87662204,0.287109572,0.119967149,0.527622066,0.107842641,0.172043011,0.049411765,0.237634968,0.231675223,0.062186073,0.84082963,0.10581364,0.086965737,0.122321996,0.411853489,0.292063492,3/27/2020,3/30/2020
3/18/2020,Forsyth,North Carolina,2,0,no,no,36.13062805,-80.25629747,0.356367133,0.248003806,0.458079859,0.257086501,0.350537634,0.164705882,0.163966109,0.207385685,0.103091062,0.720801014,0.178214372,0.0586325,0.214298159,0.307279735,0.358730159,3/27/2020,3/30/2020
